t	heroX	heroY	hp	enemies	gems	nearest	level
802	515.5	290.0	7	6	0	378.6	1
807	515.5	290.0	7	6	0	378.3	1
814	515.5	290.0	7	6	0	378.1	1
821	515.5	290.0	7	6	0	377.8	1
826	515.5	290.0	7	6	0	377.6	1
833	515.5	290.0	7	6	0	377.3	1
838	515.5	290.0	7	6	0	377.1	1
844	515.5	290.0	7	6	0	376.9	1
851	515.5	290.0	7	6	0	376.6	1
856	515.5	290.0	7	6	0	376.4	1
862	515.5	290.0	7	6	0	376.1	1
868	515.5	290.0	7	6	0	375.9	1
874	515.5	290.0	7	6	0	375.7	1
881	515.5	290.0	7	6	0	375.4	1
887	515.5	290.0	7	6	0	375.1	1
893	515.5	290.0	7	6	0	374.9	1
899	515.5	290.0	7	6	0	374.7	1
905	515.5	290.0	7	6	0	374.4	1
910	515.5	290.0	7	6	0	374.2	1
916	515.5	290.0	7	6	0	374.0	1
922	515.5	290.0	7	7	0	373.7	1
928	515.5	290.0	7	7	0	373.5	1
934	515.5	290.0	7	7	0	373.3	1
940	515.5	290.0	7	7	0	373.0	1
946	515.5	290.0	7	7	0	372.8	1
953	515.5	290.0	7	7	0	372.5	1
958	515.5	290.0	7	7	0	372.3	1
964	515.5	290.0	7	7	0	372.1	1
970	515.5	290.0	7	7	0	371.8	1
976	515.5	290.0	7	7	0	371.6	1
983	515.5	290.0	7	7	0	371.3	1
989	515.5	290.0	7	7	0	371.1	1
995	515.5	290.0	7	7	0	370.8	1
1001	515.5	290.0	7	7	0	370.6	1
1007	515.5	290.0	7	7	0	370.4	1
1013	515.5	290.0	7	7	0	370.1	1
1019	515.5	290.0	7	7	0	369.9	1
1025	515.5	290.0	7	7	0	369.6	1
1031	515.5	290.0	7	7	0	369.4	1
1037	515.5	290.0	7	7	0	369.2	1
1042	515.5	290.0	7	7	0	368.9	1
1048	515.5	290.0	7	7	0	368.7	1
1054	515.5	290.0	7	7	0	368.5	1
1060	515.5	290.0	7	7	0	368.2	1
1066	515.5	290.0	7	7	0	368.0	1
1072	515.5	290.0	7	7	0	367.8	1
1078	515.5	290.0	7	7	0	367.5	1
1084	515.5	290.0	7	7	0	367.3	1
1089	515.5	290.0	7	7	0	367.1	1
1095	515.5	290.0	7	7	0	366.8	1
1101	515.5	290.0	7	7	0	366.6	1
1107	515.5	290.0	7	7	0	366.4	1
1113	515.5	290.0	7	7	0	366.1	1
1119	515.5	290.0	7	7	0	365.9	1
1125	515.5	290.0	7	7	0	365.7	1
1131	515.5	290.0	7	7	0	365.4	1
1138	515.5	290.0	7	7	0	365.1	1
1144	515.5	290.0	7	7	0	364.9	1
1150	515.5	290.0	7	7	0	364.6	1
1156	515.5	290.0	7	7	0	364.4	1
1161	515.5	290.0	7	7	0	364.2	1
1168	515.5	290.0	7	7	0	363.9	1
1174	515.5	290.0	7	7	0	363.7	1
1180	515.5	290.0	7	7	0	363.4	1
1187	515.5	290.0	7	7	0	363.2	1
1192	515.5	290.0	7	7	0	362.9	1
1199	515.5	290.0	7	7	0	362.7	1
1206	515.5	290.0	7	7	0	362.4	1
1211	515.5	290.0	7	7	0	362.2	1
1218	515.5	290.0	7	7	0	361.9	1
1224	515.5	290.0	7	7	0	361.7	1
1231	515.5	290.0	7	7	0	361.4	1
1237	515.5	290.0	7	7	0	361.1	1
1243	515.5	290.0	7	7	0	360.9	1
1249	515.5	290.0	7	7	0	360.7	1
1255	515.5	290.0	7	7	0	360.4	1
1261	515.5	290.0	7	7	0	360.2	1
1267	515.5	290.0	7	7	0	360.0	1
1273	515.5	290.0	7	7	0	359.7	1
1278	515.5	290.0	7	7	0	359.5	1
1284	515.5	290.0	7	7	0	359.3	1
1291	515.5	290.0	7	7	0	359.0	1
1297	515.5	290.0	7	7	0	358.8	1
1304	515.5	290.0	7	7	0	358.5	1
1310	515.5	290.0	7	7	0	358.2	1
1316	515.5	290.0	7	7	0	358.0	1
1322	515.5	290.0	7	7	0	357.8	1
1328	515.5	290.0	7	7	0	357.5	1
1334	515.5	290.0	7	7	0	357.3	1
1340	515.5	290.0	7	7	0	357.0	1
1346	515.5	290.0	7	7	0	356.8	1
1352	515.5	290.0	7	7	0	356.6	1
1358	515.5	290.0	7	7	0	356.3	1
1364	515.5	290.0	7	7	0	356.1	1
1371	515.5	290.0	7	7	0	355.8	1
1377	515.5	290.0	7	7	0	355.6	1
1383	515.5	290.0	7	7	0	355.3	1
1390	515.5	290.0	7	7	0	355.1	1
1395	515.5	290.0	7	7	0	354.8	1
1402	515.5	290.0	7	7	0	354.6	1
1408	515.5	290.0	7	8	0	354.3	1
1414	515.5	290.0	7	8	0	354.1	1
1420	515.5	290.0	7	8	0	353.8	1
1426	515.5	290.0	7	8	0	353.6	1
1432	515.5	290.0	7	8	0	353.4	1
1438	515.5	290.0	7	8	0	353.1	1
1444	515.5	290.0	7	8	0	352.9	1
1450	515.5	290.0	7	8	0	352.6	1
1456	515.5	290.0	7	8	0	352.4	1
1462	515.5	290.0	7	8	0	352.2	1
1468	515.5	290.0	7	8	0	351.9	1
1474	515.5	290.0	7	8	0	351.7	1
1480	515.5	290.0	7	8	0	351.5	1
1486	515.5	290.0	7	8	0	351.2	1
1492	515.5	290.0	7	8	0	351.0	1
1498	515.5	290.0	7	8	0	350.7	1
1504	515.5	290.0	7	8	0	350.5	1
1509	515.5	290.0	7	8	0	350.3	1
1516	515.5	290.0	7	8	0	350.0	1
1522	515.5	290.0	7	8	0	349.8	1
1527	515.5	290.0	7	8	0	349.6	1
1534	515.5	290.0	7	8	0	349.3	1
1539	515.5	290.0	7	8	0	349.1	1
1545	515.5	290.0	7	8	0	348.9	1
1551	515.5	290.0	7	8	0	348.6	1
1557	515.5	290.0	7	8	0	348.4	1
1563	515.5	290.0	7	8	0	348.1	1
1569	515.5	290.0	7	8	0	347.9	1
1575	515.5	290.0	7	8	0	347.7	1
1582	515.5	290.0	7	8	0	347.4	1
1588	515.5	290.0	7	8	0	347.1	1
1595	515.5	290.0	7	8	0	346.9	1
1601	515.5	290.0	7	8	0	346.6	1
1607	515.5	290.0	7	8	0	346.4	1
1614	515.5	290.0	7	8	0	346.1	1
1621	515.5	290.0	7	8	0	345.8	1
1628	515.5	290.0	7	8	0	345.5	1
1637	515.5	290.0	7	8	0	345.2	1
1644	515.5	290.0	7	8	0	344.9	1
1652	515.5	290.0	7	8	0	344.6	1
1659	515.5	290.0	7	8	0	344.3	1
1666	515.5	290.0	7	8	0	344.0	1
1672	515.5	290.0	7	8	0	343.8	1
1678	515.5	290.0	7	8	0	343.5	1
1685	515.5	290.0	7	8	0	343.3	1
1691	515.5	290.0	7	8	0	343.0	1
1697	515.5	290.0	7	8	0	342.8	1
1703	515.5	290.0	7	8	0	342.5	1
1709	515.5	290.0	7	8	0	342.3	1
1716	515.5	290.0	7	8	0	342.0	1
1722	515.5	290.0	7	8	0	341.8	1
1728	515.5	290.0	7	8	0	341.5	1
1735	515.5	290.0	7	8	0	341.3	1
1741	515.5	290.0	7	8	0	341.0	1
1748	515.5	290.0	7	8	0	340.8	1
1754	515.5	290.0	7	8	0	340.5	1
1761	515.5	290.0	7	8	0	340.2	1
1768	515.5	290.0	7	8	0	340.0	1
1775	515.5	290.0	7	8	0	339.7	1
1782	515.5	290.0	7	8	0	339.4	1
1789	515.5	290.0	7	8	0	339.1	1
1796	515.5	290.0	7	8	0	338.8	1
1803	515.5	290.0	7	8	0	338.6	1
1809	515.5	290.0	7	8	0	338.3	1
1815	515.5	290.0	7	8	0	338.1	1
1821	515.5	290.0	7	8	0	337.8	1
1826	515.5	290.0	7	8	0	337.6	1
1833	515.5	290.0	7	8	0	337.4	1
1839	515.5	290.0	7	8	0	337.1	1
1844	515.5	290.0	7	8	0	336.9	1
1851	515.5	290.0	7	8	0	336.6	1
1856	515.5	290.0	7	8	0	336.4	1
1862	515.5	290.0	7	8	0	336.2	1
1869	515.5	290.0	7	9	0	335.9	1
1875	515.5	290.0	7	9	0	335.7	1
1881	515.5	290.0	7	9	0	335.4	1
1888	515.5	290.0	7	9	0	335.2	1
1894	515.5	290.0	7	9	0	334.9	1
1900	515.5	290.0	7	9	0	334.7	1
1906	515.5	290.0	7	9	0	334.4	1
1911	515.5	290.0	7	9	0	334.2	1
1918	515.5	290.0	7	9	0	334.0	1
1924	515.5	290.0	7	9	0	333.7	1
1930	515.5	290.0	7	9	0	333.5	1
1936	515.5	290.0	7	9	0	333.2	1
1942	515.5	290.0	7	9	0	333.0	1
1948	515.5	290.0	7	9	0	332.8	1
1954	515.5	290.0	7	9	0	332.5	1
1960	515.5	290.0	7	9	0	332.3	1
1966	515.5	290.0	7	9	0	332.0	1
1972	515.5	290.0	7	9	0	331.8	1
1977	515.5	290.0	7	9	0	331.6	1
1985	515.5	290.0	7	9	0	331.3	1
1991	515.5	290.0	7	9	0	331.0	1
1998	515.5	290.0	7	9	0	330.8	1
2004	515.5	290.0	7	9	0	330.5	1
2010	515.5	290.0	7	9	0	330.3	1
2016	515.5	290.0	7	9	0	330.0	1
2022	515.5	290.0	7	9	0	329.8	1
2031	515.5	290.0	7	9	0	329.6	1
2038	515.5	290.0	7	9	0	329.2	1
2044	515.5	290.0	7	9	0	328.9	1
2050	515.5	290.0	7	9	0	328.7	1
2056	515.5	290.0	7	9	0	328.4	1
2061	515.5	290.0	7	9	0	328.2	1
2068	515.5	290.0	7	9	0	327.9	1
2074	515.5	290.0	7	9	0	327.7	1
2080	515.5	290.0	7	9	0	327.5	1
2087	515.5	290.0	7	9	0	327.2	1
2092	515.5	290.0	7	9	0	327.0	1
2098	515.5	290.0	7	9	0	326.7	1
2105	515.5	290.0	7	9	0	326.5	1
2110	515.5	290.0	7	9	0	326.3	1
2117	515.5	290.0	7	9	0	326.0	1
2123	515.5	290.0	7	9	0	325.8	1
2128	515.5	290.0	7	9	0	325.5	1
2135	515.5	290.0	7	9	0	325.3	1
2141	515.5	290.0	7	9	0	325.0	1
2147	515.5	290.0	7	9	0	324.8	1
2153	515.5	290.0	7	9	0	324.6	1
2159	515.5	290.0	7	9	0	324.3	1
2165	515.5	290.0	7	9	0	324.1	1
2172	515.5	290.0	7	9	0	323.8	1
2177	515.5	290.0	7	9	0	323.6	1
2184	515.5	290.0	7	9	0	323.3	1
2189	515.5	290.0	7	9	0	323.1	1
2195	515.5	290.0	7	9	0	322.9	1
2202	515.5	290.0	7	9	0	322.6	1
2208	515.5	290.0	7	9	0	322.4	1
2214	515.5	290.0	7	9	0	322.1	1
2220	515.5	290.0	7	9	0	321.9	1
2226	515.5	290.0	7	9	0	321.7	1
2232	515.5	290.0	7	9	0	321.4	1
2238	515.5	290.0	7	9	0	321.2	1
2244	515.5	290.0	7	9	0	320.9	1
2251	515.5	290.0	7	9	0	320.7	1
2257	515.5	290.0	7	9	0	320.4	1
2262	515.5	290.0	7	9	0	320.2	1
2269	515.5	290.0	7	9	0	319.9	1
2275	515.5	290.0	7	9	0	319.7	1
2281	515.5	290.0	7	9	0	319.5	1
2287	515.5	290.0	7	9	0	319.2	1
2293	515.5	290.0	7	9	0	319.0	1
2300	515.5	290.0	7	9	0	318.7	1
2306	515.5	290.0	7	9	0	318.5	1
2312	515.5	290.0	7	9	0	318.2	1
2318	515.5	290.0	7	9	0	318.0	1
2324	515.5	290.0	7	9	0	317.7	1
2330	515.5	290.0	7	9	0	317.5	1
2338	515.5	290.0	7	10	0	317.2	1
2344	515.5	290.0	7	10	0	316.9	1
2353	515.5	290.0	7	10	0	316.6	1
2360	515.5	290.0	7	10	0	316.3	1
2367	515.5	290.0	7	10	0	316.0	1
2373	515.5	290.0	7	10	0	315.8	1
2379	515.5	290.0	7	10	0	315.5	1
2385	515.5	290.0	7	10	1	315.3	1
2392	515.5	290.0	7	9	1	315.0	1
2398	515.5	290.0	7	9	1	314.8	1
2404	515.5	290.0	7	9	1	314.5	1
2410	515.5	290.0	7	9	1	314.3	1
2416	515.5	290.0	7	9	1	314.0	1
2422	515.5	290.0	7	9	1	313.8	1
2428	515.5	290.0	7	9	1	313.6	1
2435	515.5	290.0	7	9	1	313.3	1
2440	515.5	290.0	7	9	1	313.1	1
2446	515.5	290.0	7	9	1	312.8	1
2453	515.5	290.0	7	9	1	312.6	1
2460	515.5	290.0	7	9	1	312.3	1
2469	515.5	290.0	7	9	1	311.9	1
2477	515.5	290.0	7	9	1	311.6	1
2484	515.5	290.0	7	9	1	311.3	1
2493	515.5	290.0	7	9	1	311.0	1
2500	515.5	290.0	7	9	1	310.7	1
2507	515.5	290.0	7	9	1	310.4	1
2514	515.5	290.0	7	9	1	310.1	1
2522	515.5	290.0	7	9	1	309.8	1
2529	515.5	290.0	7	9	1	309.5	1
2536	515.5	290.0	7	9	1	309.3	1
2542	515.5	290.0	7	9	1	309.0	1
2548	515.5	290.0	7	9	1	308.8	1
2555	515.5	290.0	7	9	1	308.5	1
2560	515.5	290.0	7	9	1	308.3	1
2567	515.5	290.0	7	9	1	308.0	1
2573	515.5	290.0	7	9	1	307.8	1
2579	515.5	290.0	7	9	1	307.6	1
2585	515.5	290.0	7	9	1	307.3	1
2591	515.5	290.0	7	9	1	307.1	1
2597	515.5	290.0	7	9	1	306.8	1
2604	515.5	290.0	7	9	1	306.5	1
2610	515.5	290.0	7	9	1	306.3	1
2619	515.5	290.0	7	9	1	306.0	1
2626	515.5	290.0	7	9	1	305.7	1
2635	515.5	290.0	7	9	1	305.3	1
2642	515.5	290.0	7	9	1	305.0	1
2649	515.5	290.0	7	9	1	304.7	1
2656	515.5	290.0	7	9	1	304.5	1
2662	515.5	290.0	7	9	1	304.2	1
2669	515.5	290.0	7	9	1	303.9	1
2675	515.5	290.0	7	9	1	303.7	1
2682	515.5	290.0	7	9	1	303.4	1
2689	515.5	290.0	7	9	1	303.1	1
2695	515.5	290.0	7	9	1	302.9	1
2702	515.5	290.0	7	9	1	302.6	1
2708	515.5	290.0	7	9	1	302.4	1
2716	515.5	290.0	7	9	1	302.1	1
2722	515.5	290.0	7	9	1	301.8	1
2728	515.5	290.0	7	9	1	301.6	1
2735	515.5	290.0	7	9	1	301.3	1
2741	515.5	290.0	7	9	1	301.1	1
2748	515.5	290.0	7	9	1	300.8	1
2755	515.5	290.0	7	9	1	300.5	1
2761	515.5	290.0	7	9	1	300.3	1
2769	515.5	290.0	7	9	1	299.9	1
2776	515.5	290.0	7	9	1	299.7	1
2783	515.5	290.0	7	9	1	299.4	1
2789	515.5	290.0	7	9	1	299.1	1
2795	515.5	290.0	7	9	1	299.6	1
2802	515.5	290.0	7	9	1	300.2	1
2808	515.5	290.0	7	9	1	300.6	1
2814	515.5	290.0	7	10	1	301.1	1
2820	515.5	290.0	7	10	1	301.5	1
2826	515.5	290.0	7	10	1	301.9	1
2833	515.5	290.0	7	10	1	302.3	1
2839	515.5	290.0	7	10	1	302.7	1
2844	515.5	290.0	7	10	1	303.0	1
2850	515.5	290.0	7	10	1	303.3	1
2856	515.5	290.0	7	10	1	303.6	1
2862	515.5	290.0	7	10	1	303.9	1
2869	515.5	290.0	7	10	1	304.2	1
2875	515.5	290.0	7	10	1	304.4	1
2881	515.5	290.0	7	10	1	304.7	1
2887	515.5	290.0	7	10	1	304.9	1
2893	515.5	290.0	7	10	1	305.1	1
2899	515.5	290.0	7	10	1	305.3	1
2905	515.5	290.0	7	10	1	305.5	1
2911	515.5	290.0	7	10	1	305.7	1
2918	515.5	290.0	7	10	1	305.9	1
2923	515.5	290.0	7	10	1	306.0	1
2929	515.5	290.0	7	10	1	306.1	1
2935	515.5	290.0	7	10	1	306.3	1
2941	515.5	290.0	7	10	1	306.4	1
2947	515.5	290.0	7	10	1	306.5	1
2953	515.5	290.0	7	10	1	306.6	1
2959	515.5	290.0	7	10	1	306.7	1
2965	515.5	290.0	7	10	1	306.8	1
2971	515.5	290.0	7	10	1	306.8	1
2977	515.5	290.0	7	10	1	306.9	1
2984	515.5	290.0	7	10	1	306.9	1
2990	515.5	290.0	7	10	1	307.0	1
2996	515.5	290.0	7	10	1	307.0	1
3003	515.5	290.0	7	10	1	307.0	1
3014	515.5	290.0	7	10	1	307.0	1
3020	515.5	290.0	7	10	1	307.0	1
3026	515.5	290.0	7	10	1	307.0	1
3034	515.5	290.0	7	10	1	307.0	1
3041	515.5	290.0	7	10	1	307.0	1
3049	515.5	290.0	7	10	1	307.0	1
3055	515.5	290.0	7	10	1	306.9	1
3061	515.5	290.0	7	10	1	306.9	1
3067	515.5	290.0	7	10	1	306.8	1
3073	515.5	290.0	7	10	1	306.8	1
3079	515.5	290.0	7	10	1	306.7	1
3085	515.5	290.0	7	10	1	306.6	1
3091	515.5	290.0	7	10	1	306.6	1
3097	515.5	290.0	7	10	1	306.5	1
3104	515.5	290.0	7	10	1	306.4	1
3109	515.5	290.0	7	10	1	306.3	1
3115	515.5	290.0	7	10	1	306.2	1
3121	515.5	290.0	7	10	1	306.1	1
3127	515.5	290.0	7	10	1	306.0	1
3134	515.5	290.0	7	10	1	305.9	1
3139	515.5	290.0	7	10	1	305.8	1
3146	515.5	290.0	7	10	1	305.7	1
3153	515.5	290.0	7	10	2	306.7	1
3160	515.5	290.0	7	9	2	306.4	1
3168	515.5	290.0	7	9	2	306.1	1
3175	515.5	290.0	7	9	2	305.9	1
3183	515.5	290.0	7	9	2	305.6	1
3191	515.5	290.0	7	9	2	305.3	1
3198	515.5	290.0	7	9	2	305.0	1
3205	515.5	290.0	7	9	2	304.7	1
3212	515.5	290.0	7	9	2	304.5	1
3220	515.5	290.0	7	9	2	304.2	1
3226	515.5	290.0	7	9	2	304.0	1
3232	515.5	290.0	7	9	2	303.7	1
3238	515.5	290.0	7	9	2	303.5	1
3243	515.5	290.0	7	9	2	303.3	1
3250	515.5	290.0	7	9	2	303.0	1
3255	515.5	290.0	7	9	2	302.8	1
3261	515.5	290.0	7	9	2	302.6	1
3268	515.5	290.0	7	10	2	302.3	1
3274	515.5	290.0	7	10	2	302.1	1
3280	515.5	290.0	7	10	2	301.9	1
3286	515.5	290.0	7	10	2	301.6	1
3292	515.5	290.0	7	10	2	301.4	1
3298	515.5	290.0	7	10	2	301.2	1
3304	515.5	290.0	7	10	2	301.0	1
3310	515.5	290.0	7	10	2	300.8	1
3316	515.5	290.0	7	10	2	300.5	1
3322	515.5	290.0	7	10	2	300.3	1
3328	515.5	290.0	7	10	2	300.1	1
3335	515.5	290.0	7	10	2	299.8	1
3341	515.5	290.0	7	10	2	299.5	1
3348	515.5	290.0	7	10	2	299.3	1
3356	515.5	290.0	7	10	2	299.0	1
3362	515.5	290.0	7	10	2	298.8	1
3369	515.5	290.0	7	10	2	298.5	1
3375	515.5	290.0	7	10	2	298.3	1
3381	515.5	290.0	7	10	2	298.0	1
3388	515.5	290.0	7	10	2	297.8	1
3394	515.5	290.0	7	10	2	297.5	1
3400	515.5	290.0	7	10	2	297.3	1
3406	515.5	290.0	7	10	2	297.1	1
3412	515.5	290.0	7	10	2	296.9	1
3418	515.5	290.0	7	10	2	296.6	1
3424	515.5	290.0	7	10	2	296.4	1
3430	515.5	290.0	7	10	2	296.2	1
3436	515.5	290.0	7	10	2	295.9	1
3442	515.5	290.0	7	10	2	295.7	1
3448	515.5	290.0	7	10	2	295.5	1
3454	515.5	290.0	7	10	2	295.2	1
3460	515.5	290.0	7	10	2	295.0	1
3466	515.5	290.0	7	10	2	294.8	1
3472	515.5	290.0	7	10	2	294.6	1
3478	515.5	290.0	7	10	2	294.3	1
3484	515.5	290.0	7	10	2	294.1	1
3490	515.5	290.0	7	10	2	293.9	1
3496	515.5	290.0	7	10	2	293.7	1
3502	515.5	290.0	7	10	2	293.4	1
3508	515.5	290.0	7	10	2	293.2	1
3513	515.5	290.0	7	10	2	293.0	1
3520	515.5	290.0	7	10	2	292.7	1
3525	515.5	290.0	7	10	2	292.5	1
3532	515.5	290.0	7	10	2	292.3	1
3538	515.5	290.0	7	10	2	292.0	1
3544	515.5	290.0	7	10	2	291.8	1
3550	515.5	290.0	7	10	2	291.6	1
3556	515.5	290.0	7	10	2	291.4	1
3562	515.5	290.0	7	10	2	291.1	1
3568	515.5	290.0	7	10	2	290.9	1
3574	515.5	290.0	7	10	2	290.7	1
3580	515.5	290.0	7	10	2	290.5	1
3586	515.5	290.0	7	10	2	290.2	1
3592	515.5	290.0	7	10	2	290.0	1
3598	515.5	290.0	7	10	2	289.8	1
3604	515.5	290.0	7	10	2	289.5	1
3610	515.5	290.0	7	10	2	289.3	1
3619	515.5	290.0	7	10	2	289.0	1
3626	515.5	290.0	7	10	2	288.7	1
3634	515.5	290.0	7	10	2	288.4	1
3640	515.5	290.0	7	10	2	288.2	1
3645	515.5	290.0	7	10	2	287.9	1
3652	515.5	290.0	7	10	2	287.7	1
3657	515.5	290.0	7	10	2	287.5	1
3663	515.5	290.0	7	10	2	287.3	1
3669	515.5	290.0	7	10	2	287.0	1
3675	515.5	290.0	7	10	2	286.8	1
3681	515.5	290.0	7	10	2	286.6	1
3687	515.5	290.0	7	10	2	286.3	1
3693	515.5	290.0	7	10	2	286.1	1
3699	515.5	290.0	7	10	2	285.9	1
3705	515.5	290.0	7	10	2	285.7	1
3711	515.5	290.0	7	10	2	285.4	1
3718	515.5	290.0	7	10	2	285.2	1
3724	515.5	290.0	7	10	2	285.0	1
3730	515.5	290.0	7	10	2	284.7	1
3737	515.5	290.0	7	10	2	284.5	1
3743	515.5	290.0	7	11	2	284.2	1
3750	515.5	290.0	7	11	2	284.0	1
3756	515.5	290.0	7	11	2	283.7	1
3762	515.5	290.0	7	11	2	283.5	1
3769	515.5	290.0	7	11	2	283.2	1
3775	515.5	290.0	7	11	2	283.0	1
3782	515.5	290.0	7	11	2	282.7	1
3789	515.5	290.0	7	11	2	282.5	1
3795	515.5	290.0	7	11	2	282.2	1
3806	515.5	290.0	7	11	2	281.8	1
3811	515.5	290.0	7	11	2	281.6	1
3819	515.5	290.0	7	11	2	281.3	1
3826	515.5	290.0	7	11	2	281.9	1
